TrialNumber,T1Position,T2LagPosition,T1Target,T2Target,T1Response,T2Response,T1Correct,T2Correct
1,5,7,M,R,J,BACKSPACE,0,0
2,9,3,M,R,J,SPACE,0,0
3,9,7,W,T,SPACE,,0,
4,8,5,V,S,,,,
5,7,2,A,V,,,,
6,8,4,G,D,,,,
7,6,2,A,J,,,,
8,6,8,P,S,,,,
9,5,5,C,V,,,,
10,5,1,W,T,,,,
11,5,4,E,P,,,,
12,7,7,R,Q,,,,
13,9,5,P,L,,,,
14,8,6,T,R,,,,
15,5,8,W,N,,,,
16,9,6,G,T,,,,
17,9,1,E,A,,,,
18,8,7,N,J,,,,
19,9,4,H,T,,,,
20,8,8,R,D,,,,
21,7,6,C,A,,,,
22,6,5,X,D,,,,
23,8,2,C,D,,,,
24,7,3,J,V,,,,
25,5,2,G,S,,,,
26,6,1,H,Y,,,,
27,9,8,K,X,,,,
28,7,1,A,N,,,,
29,6,3,Y,K,,,,
30,6,6,J,W,,,,
31,7,8,D,U,,,,
32,9,2,Y,D,,,,
33,6,7,M,Q,,,,
34,6,4,H,D,,,,
35,7,4,G,P,,,,
36,8,1,Q,C,,,,
37,7,5,X,C,,,,
38,5,6,S,X,,,,
39,5,3,D,F,,,,
40,8,3,U,D,,,,
